Date,Open,Close,Volume
2024-02-29,137.28,138.46,42132953
2024-02-28,137.9,136.38,37328558
2024-02-27,138.02,138.88,33099190
2024-02-26,142.14,137.57,53641795
2024-02-23,143.67,143.96,19493752
2024-02-22,144.93,144.09,27191892
2024-02-21,141.45,142.55,23315687
2024-02-20,139.655,141.12,24935710
2024-02-16,142.99,140.52,31468926
2024-02-15,143.14,142.77,37590695
2024-02-14,146.08,145.94,22704166
2024-02-13,144.92,145.14,27837730
2024-02-12,148.42,147.53,21564085
2024-02-09,146.68,149.0,26829504
2024-02-08,145.83,145.91,22563764
2024-02-07,144.76,145.54,25208862
2024-02-06,144.65,144.1,29128201
2024-02-05,142.82,143.68,38505405
2024-02-02,139.26,142.38,62499574
2024-02-01,142.12,141.16,40466549
2024-01-31,143.62,140.1,71910044
2024-01-30,152.8,151.46,36331833
2024-01-29,152.06,153.51,27784259
2024-01-26,151.1,152.185,26115494
2024-01-25,150.065,151.87,29149069
2024-01-24,148.54,148.7,25155644
2024-01-23,145.89,147.04,21636129
2024-01-22,147.1,145.99,32200369
2024-01-19,144.74,146.38,34271867
2024-01-18,142.05,143.48,25746417
2024-01-17,141.345,141.47,20968649
2024-01-16,142.0,142.49,22670467
2024-01-12,142.67,142.65,18785514
2024-01-11,143.49,142.08,24008722
2024-01-10,141.0,142.28,21320203
2024-01-09,138.5,140.95,24759598
2024-01-08,136.29,138.84,21403982
2024-01-05,136.745,135.73,21661914
2024-01-04,138.42,136.39,27137735
2024-01-03,137.25,138.92,24212147
2024-01-02,138.55,138.17,23711220
2023-12-29,139.63,139.69,18733017
2023-12-28,140.78,140.23,16045712
2023-12-27,141.59,140.37,19567216
2023-12-26,141.59,141.52,16780333
2023-12-22,140.77,141.49,26532199
2023-12-21,139.49,140.42,27488284
2023-12-20,138.97,138.34,49107179
2023-12-19,136.84,136.65,25436155
2023-12-18,132.63,135.8,32257967
2023-12-15,131.62,132.6,50847113
2023-12-14,133.38,131.94,38722413
2023-12-13,133.38,132.57,30104775
2023-12-12,131.81,132.52,29032831
2023-12-11,132.38,133.29,31138011
2023-12-08,134.2,134.99,32260112
2023-12-07,135.04,136.93,56767100
